graph_name,v,e
1023_e_033,2,4
4338_e_091,1,1
3449_e_079,66,408
473_e_021,56,373
2800_e_071,1,1
5732_e_099,8,52
3145_e_077,1,1
149_e_013,4,12
2605_e_067,1,1
543_e_023,1,1
40_e_007,1,1
506_e_023,1,1
2975_e_073,32,172
6159_e_101,264,2439
4508_e_091,3,6
6288_e_103,16328,77480
5596_e_099,5,21
794_e_027,1,1
1370_e_049,21,149
3758_e_081,40,290
1335_e_049,19,122
2133_e_061,1,1
1418_e_049,1,1
5990_e_101,27,147
283_e_017,1,1
4225_e_091,3,7
3554_e_079,12,37
2680_e_069,1,1
2958_e_071,7,21
4260_e_091,1,1
3511_e_079,1,1
2638_e_069,1,1
701_e_025,8,28
5697_e_099,5,21
6258_e_101,83,541
5928_e_101,75,591
941_e_033,1,1
1170_e_039,5,13
1982_e_057,1,1
5067_e_097,1,1
4121_e_083,1,1
253_e_015,5,15
1453_e_051,7,21
1684_e_055,2,4
5022_e_097,34,276
4164_e_083,8,34
0_e_001,5,13
1135_e_039,1,1
929_e_031,38,238
2319_e_065,1,1
2419_e_067,1,1
216_e_015,10,36
769_e_027,2,4
2988_e_073,9,47
4624_e_093,73,534
4661_e_093,19,164
6265_e_101,62,518
2640_e_069,37,211
1303_e_043,20,69
6220_e_101,110,746
5950_e_101,13,52
2409_e_065,1,1
5915_e_101,25,221
2267_e_063,7,31
3321_e_077,257,2231
2424_e_067,1,1
2324_e_065,1,1
914_e_031,112,707
1108_e_039,3,7
4159_e_083,1,1
2361_e_065,1,1
2222_e_063,36,206
2461_e_067,1,1
583_e_023,1,1
711_e_027,1,1
5513_e_099,6,13
4619_e_093,82,553
6199_e_101,48,308
754_e_027,3,7
5556_e_099,3,6
4535_e_091,1,1
38_e_007,9,39
6164_e_101,47,323
6121_e_101,53,376
1942_e_057,1,1
3720_e_081,37,163
1493_e_051,1,1
3863_e_083,1,1
1907_e_057,18,62
3765_e_081,36,227
3826_e_083,1,1
981_e_033,1,1
2920_e_071,8,39
5612_e_099,3,6
5657_e_099,6,23
2965_e_071,11,33
363_e_019,1,1
4218_e_091,8,31
3284_e_077,346,2786
2581_e_067,4,12
3016_e_073,48,272
2013_e_061,3,7
3678_e_081,1,1
2056_e_061,3,7
3053_e_073,19,92
1759_e_055,1,1
6079_e_101,68,498
5824_e_099,1,1
3359_e_079,10,40
4428_e_091,1,1
3431_e_079,1,1
4340_e_091,1,1
699_e_025,1,1
3474_e_079,29,141
4305_e_091,1,1
4897_e_093,1,1
2878_e_071,13,39
3584_e_081,10,66
174_e_013,6,19
842_e_029,1,1
5203_e_097,1,1
3178_e_077,190,1391
131_e_013,11,38
807_e_029,1,1
5246_e_097,1,1
3185_e_077,69,445
3579_e_081,16,64
189_e_013,7,22
2885_e_071,22,95
4929_e_095,1,1
664_e_025,1,1
3489_e_079,7,26
5366_e_099,9,27
2718_e_069,47,343
5323_e_099,27,147
621_e_025,1,1
4490_e_091,1,1
4741_e_093,1,1
4941_e_097,9,36
6084_e_101,32,193
4704_e_093,30,241
5102_e_097,17,70
4044_e_083,2,4
3685_e_081,22,162
1536_e_051,5,12
2539_e_067,3,6
5147_e_097,6,25
4001_e_083,6,17
3279_e_077,2,4
3983_e_083,1,1
983_e_033,1,1
2922_e_071,18,64
5610_e_099,40,214
5655_e_099,4,9
2967_e_071,1,1
361_e_019,70,464
4537_e_091,1,1
6166_e_101,75,529
539_e_023,1,1
409_e_019,36,226
6123_e_101,48,381
3109_e_073,59,480
1940_e_057,1,1
3722_e_081,148,1223
1491_e_051,1,1
3861_e_083,1,1
1905_e_057,1,1
2149_e_061,1,1
3767_e_081,5,16
2298_e_063,2,4
3824_e_083,1,1
229_e_015,118,821
1429_e_051,4,9
3323_e_077,1,1
2426_e_067,1,1
2265_e_063,1,1
916_e_031,6,21
2326_e_065,2,4
2363_e_065,1,1
2463_e_067,1,1
2220_e_063,6,19
5058_e_097,56,298
581_e_023,1,1
5511_e_099,1,1
713_e_027,1,1
5554_e_099,20,102
756_e_027,1,1
6267_e_101,75,583
2642_e_069,15,71
1301_e_043,2,4
6222_e_101,200,1661
5952_e_101,26,183
2199_e_063,1,1
5917_e_101,127,880
4492_e_091,1,1
4743_e_093,6,24
4943_e_097,32,192
5449_e_099,37,255
6086_e_101,212,1704
4706_e_093,66,471
4046_e_083,5,15
5100_e_097,4,12
3687_e_081,10,46
1534_e_051,1,1
4003_e_083,1,1
5145_e_097,217,1552
3981_e_083,5,11
9_e_005,30,272
3187_e_077,1,1
319_e_017,1,1
110_e_009,12,42
2887_e_071,1,1
4868_e_093,55,321
666_e_025,2,4
5364_e_099,3,8
1259_e_043,1,1
5321_e_099,13,54
623_e_025,3,6
3433_e_079,4,14
4342_e_091,4,11
3476_e_079,1,1
5399_e_099,5,16
4307_e_091,3,6
4895_e_093,125,996
5748_e_099,42,222
3586_e_081,65,414
176_e_013,1,1
840_e_029,1,1
5201_e_097,210,1548
133_e_013,16,91
805_e_029,1,1
5244_e_097,19,86
3286_e_077,9,41
2583_e_067,1,1
3014_e_073,16,82
2011_e_061,1,1
3939_e_083,4,11
2054_e_061,9,42
3051_e_073,85,688
1618_e_053,18,81
5826_e_099,22,106
5775_e_099,14,110
2847_e_071,4,11
434_e_021,16,106
1021_e_033,4,12
1299_e_043,1,1
471_e_021,1,1
2802_e_071,5,16
5730_e_099,5,18
5279_e_097,116,797
838_e_029,10,33
6324_e_109,1,1
3147_e_077,106,807
1808_e_055,1,1
2607_e_067,1,1
1766_e_055,3,6
1625_e_053,22,155
2069_e_061,1,1
4086_e_083,1,1
3904_e_083,1,1
82_e_009,1,1
3647_e_081,61,350
1660_e_053,58,430
1723_e_055,1,1
5185_e_097,8,26
3029_e_073,60,433
1092_e_039,1,1
1860_e_057,3,7
3941_e_083,1,1
3602_e_081,38,217
4452_e_091,7,16
4983_e_097,38,234
6003_e_101,150,976
4783_e_093,122,1068
4417_e_091,1,1
3366_e_079,1,1
5489_e_099,4,9
6046_e_101,3,6
5474_e_099,3,6
2791_e_071,1,1
5431_e_099,5,18
3246_e_077,6,20
2543_e_067,1,1
2300_e_063,30,190
5178_e_097,106,693
2506_e_067,1,1
3203_e_077,4,11
1509_e_051,49,162
3091_e_073,4,12
2094_e_061,8,37
324_e_017,1,1
880_e_029,1,1
5872_e_101,192,1424
5284_e_097,124,954
1561_e_053,1,1
4382_e_091,1,1
1221_e_043,1,1
4810_e_093,1,1
2727_e_069,4,12
5359_e_099,3,6
1264_e_043,3,7
5788_e_099,49,255
4855_e_093,1,1
2762_e_069,29,180
1980_e_057,1,1
1172_e_039,1,1
4123_e_083,7,33
5065_e_097,1,1
1451_e_051,1,1
251_e_015,19,100
1686_e_055,1,1
4166_e_083,4,11
5020_e_097,30,129
1137_e_039,3,6
2258_e_063,118,828
214_e_015,5,16
5569_e_099,49,279
4626_e_093,59,367
4663_e_093,26,178
703_e_025,3,7
5695_e_099,88,528
6319_e_107,13,60
943_e_033,1,1
5992_e_101,49,293
281_e_017,1,1
4227_e_091,1,1
3556_e_079,73,500
2682_e_069,11,36
5668_e_099,1,1
4262_e_091,1,1
3513_e_079,39,248
541_e_023,1,1
42_e_007,7,21
504_e_023,1,1
2977_e_073,30,240
796_e_027,7,26
5594_e_099,6,19
1372_e_049,163,1197
3819_e_083,1,1
1938_e_057,1,1
1337_e_049,14,61
2131_e_061,1,1
5098_e_097,9,29
192_e_013,12,43
3562_e_081,2,4
109_e_009,1,1
300_e_017,3,7
4174_e_087,1,1
5856_e_101,19,87
345_e_017,4,11
5338_e_099,1,1
1205_e_043,1,1
4834_e_093,4,11
2703_e_069,45,382
1240_e_043,1,1
3492_e_079,370,2851
4932_e_095,1,1
4871_e_093,20,85
1191_e_041,1,1
2746_e_069,1,1
5450_e_099,75,377
5415_e_099,27,123
3998_e_083,1,1
2567_e_067,1,1
3262_e_077,3,7
3227_e_077,4,12
2522_e_067,1,1
5119_e_097,5,18
1742_e_055,1,1
1601_e_053,39,260
3048_e_073,68,383
3920_e_083,4,10
3663_e_081,29,148
1644_e_053,44,337
1707_e_055,1,1
2008_e_061,22,89
1844_e_057,1,1
3965_e_083,5,16
3626_e_081,40,209
4476_e_091,1,1
6027_e_101,1,1
4433_e_091,6,21
3342_e_079,8,43
6062_e_101,10,74
5751_e_099,1,1
2863_e_071,1,1
1005_e_033,11,45
5380_e_099,11,56
682_e_025,1,1
2826_e_071,3,7
455_e_021,10,41
1040_e_033,9,25
5714_e_099,6,19
6298_e_107,18,131
3163_e_077,3,6
5218_e_097,52,372
859_e_029,1,1
565_e_023,1,1
410_e_019,52,299
520_e_023,1,1
23_e_007,1,1
1356_e_049,2,4
2281_e_063,12,87
2150_e_061,17,58
2487_e_067,1,1
3878_e_083,1,1
2387_e_065,1,1
1488_e_051,1,1
3110_e_073,56,338
1959_e_057,1,1
2115_e_061,1,1
5305_e_097,61,336
4203_e_091,3,6
378_e_019,12,54
6283_e_101,25,128
1999_e_061,1,1
4246_e_091,1,1
3537_e_079,17,70
5609_e_099,27,131
1318_e_043,4,10
385_e_019,11,36
2412_e_065,67,330
2180_e_063,114,682
967_e_033,3,7
1156_e_039,3,7
5041_e_097,127,1115
4107_e_083,5,15
2239_e_063,1,1
3885_e_083,1,1
1475_e_051,1,1
5004_e_097,64,404
4142_e_083,1,1
1113_e_039,7,27
3783_e_081,1,1
230_e_015,1,1
1430_e_051,1,1
6182_e_101,19,141
4602_e_093,10,52
5508_e_099,1,1
598_e_023,1,1
4647_e_093,26,188
6243_e_101,625,4599
6300_e_107,1,1
2666_e_069,5,15
4286_e_091,1,1
4586_e_093,1,1
6206_e_101,28,190
4914_e_093,9,36
2623_e_069,104,602
265_e_017,3,6
5976_e_101,1,1
5933_e_101,6,23
2241_e_063,34,195
3307_e_077,68,426
1396_e_049,118,972
932_e_031,6,25
5039_e_097,17,91
1448_e_051,1,1
248_e_015,114,782
2347_e_065,5,17
2204_e_063,21,90
2447_e_067,1,1
737_e_027,1,1
5535_e_099,1,1
2993_e_073,8,35
772_e_027,1,1
5570_e_099,1,1
4513_e_091,5,13
6142_e_101,54,538
4556_e_091,4,10
6107_e_101,156,1078
4687_e_093,23,96
4187_e_091,1,1
558_e_023,1,1
2128_e_061,1,1
5081_e_097,31,200
1964_e_057,1,1
3706_e_081,15,107
3845_e_083,6,22
1921_e_057,1,1
3743_e_081,23,131
3800_e_083,6,25
298_e_017,3,7
1403_e_049,1,1
2906_e_071,1,1
5634_e_099,8,29
5671_e_099,3,6
2943_e_071,31,133
3958_e_083,1,1
897_e_031,1,1
3030_e_073,4,11
1879_e_057,1,1
2035_e_061,1,1
1679_e_053,64,367
2070_e_061,11,40
3075_e_073,11,38
5802_e_099,1,1
5490_e_099,15,47
2775_e_071,1,1
3417_e_079,1,1
4366_e_091,4,10
5729_e_099,97,569
468_e_021,7,26
3452_e_079,85,547
1280_e_043,1,1
4323_e_091,1,1
1038_e_033,1,1
1811_e_055,13,35
152_e_013,20,108
864_e_029,1,1
5225_e_097,2,4
117_e_013,22,95
1585_e_053,60,349
821_e_029,1047,8848
5896_e_101,58,326
5260_e_097,10,61
1578_e_053,1,1
5791_e_099,2,4
642_e_025,1,1
5340_e_099,1,1
495_e_021,15,61
4809_e_093,15,89
1238_e_043,1,1
607_e_025,1,1
5428_e_099,6,30
2788_e_071,1,1
4767_e_093,7,21
4967_e_097,4,12
3382_e_079,4,10
4722_e_093,13,88
5124_e_097,6,21
4062_e_083,1,1
3088_e_073,6,16
1782_e_055,4,11
66_e_009,3,6
1510_e_051,1,1
1076_e_039,3,6
1884_e_057,1,1
5161_e_097,33,180
4027_e_083,4,12
381_e_019,4,12
2416_e_065,4,13
2184_e_063,10,35
963_e_033,1,1
5045_e_097,5,13
4103_e_083,1,1
1152_e_039,1,1
3881_e_083,4,11
1471_e_051,1,1
1117_e_039,9,36
5000_e_097,58,295
4146_e_083,1,1
2278_e_063,57,410
234_e_015,6,16
1434_e_051,1,1
3787_e_081,15,81
5549_e_099,14,112
6186_e_101,41,228
4606_e_093,130,1088
4643_e_093,32,157
561_e_023,1,1
414_e_019,30,158
524_e_023,1,1
27_e_007,4,12
2285_e_063,4,10
1352_e_049,16,89
3839_e_083,1,1
1918_e_057,3,6
2154_e_061,22,78
2383_e_065,14,71
2483_e_067,1,1
2111_e_061,1,1
3114_e_073,5,15
2179_e_063,7,24
5301_e_097,21,172
6287_e_101,200,1533
4207_e_091,1,1
5648_e_099,17,105
4242_e_091,3,6
3533_e_079,252,2050
1605_e_053,10,45
1746_e_055,1,1
2049_e_061,1,1
3924_e_083,4,10
3667_e_081,16,92
1703_e_055,1,1
1640_e_053,18,73
1840_e_057,1,1
3009_e_073,7,19
3961_e_083,1,1
3622_e_081,161,1077
4472_e_091,1,1
6023_e_101,114,872
4437_e_091,1,1
3346_e_079,7,28
6066_e_101,79,578
2867_e_071,1,1
4888_e_093,8,44
1001_e_033,5,16
5755_e_099,7,27
686_e_025,1,1
5384_e_099,1,1
5710_e_099,5,13
451_e_021,25,128
2822_e_071,2,4
1044_e_033,1,1
5259_e_097,4,13
818_e_029,1,1
3167_e_077,9,40
1828_e_055,1,1
3566_e_081,19,105
304_e_017,1,1
5852_e_101,72,452
341_e_017,4,13
1201_e_043,1,1
4830_e_093,25,126
2707_e_069,8,34
3496_e_079,1,1
5379_e_099,3,6
1244_e_043,1,1
1195_e_041,7,38
4875_e_093,36,176
2742_e_069,12,84
5454_e_099,5,13
5411_e_099,4,11
3266_e_077,32,184
2563_e_067,1,1
5158_e_097,13,83
2526_e_067,1,1
3223_e_077,10,53
1529_e_051,1,1
5299_e_097,120,812
339_e_017,1,1
5795_e_099,3,7
4848_e_093,3,6
5344_e_099,11,56
1279_e_043,1,1
646_e_025,8,23
491_e_021,2,4
4763_e_093,10,38
4963_e_097,30,195
3386_e_079,1,1
5469_e_099,30,143
4726_e_093,6,30
5120_e_097,6,21
2089_e_061,1,1
4066_e_083,3,7
1786_e_055,1,1
1514_e_051,8,27
62_e_009,3,7
5165_e_097,11,56
4023_e_083,1,1
1072_e_039,1,1
1880_e_057,3,6
1551_e_051,1,1
893_e_031,1,1
5198_e_097,16,152
2031_e_061,2,4
3034_e_073,185,1490
3919_e_083,2,4
3071_e_073,24,140
1838_e_057,2,4
3132_e_075,1,1
2074_e_061,6,22
1638_e_053,37,264
5806_e_099,20,92
5494_e_099,1,1
2771_e_071,1,1
5843_e_099,11,45
3413_e_079,18,87
4362_e_091,1,1
1284_e_043,10,43
3456_e_079,3,6
4327_e_091,3,7
5768_e_099,1,1
429_e_021,8,26
1815_e_055,1,1
156_e_013,3,7
860_e_029,3,7
5221_e_097,10,33
825_e_029,3,7
1581_e_053,16,77
5892_e_101,16,73
5264_e_097,31,150
5589_e_099,5,12
4517_e_091,2,4
6146_e_101,18,108
519_e_023,1,1
4552_e_091,1,1
6103_e_101,120,959
4683_e_093,217,1237
1960_e_057,1,1
3129_e_073,15,76
5085_e_097,66,454
3702_e_081,38,233
3841_e_083,7,22
2169_e_061,5,12
1925_e_057,7,22
3747_e_081,24,157
3804_e_083,1,1
1407_e_049,1,1
5630_e_099,11,48
2902_e_071,1,1
2947_e_071,1,1
5675_e_099,6,18
6304_e_107,11,59
6247_e_101,11,60
2662_e_069,1,1
5688_e_099,5,17
4582_e_093,10,52
6202_e_101,44,298
4282_e_091,2,4
4910_e_093,22,129
2627_e_069,19,92
5972_e_101,63,451
3797_e_083,7,29
5937_e_101,39,258
209_e_015,1,1
2306_e_065,1,1
1392_e_049,1,1
936_e_031,183,1449
2245_e_063,27,180
3303_e_077,6,22
2200_e_063,23,109
2443_e_067,1,1
2343_e_065,3,8
5078_e_097,11,56
733_e_027,1,1
5531_e_099,1,1
2997_e_073,183,1264
776_e_027,1,1
5574_e_099,1,1
3437_e_079,1,1
4346_e_091,3,6
448_e_021,1,1
5709_e_099,16,109
3472_e_079,4,10
4303_e_091,1,1
4891_e_093,116,835
1018_e_033,1,1
172_e_013,20,84
3582_e_081,7,27
844_e_029,1,1
5205_e_097,13,65
137_e_013,3,7
5240_e_097,4,10
3978_e_083,1,1
2587_e_067,1,1
3282_e_077,5,20
2015_e_061,1,1
1859_e_057,15,47
3010_e_073,1,1
1659_e_053,5,15
3055_e_073,46,303
2050_e_061,1,1
5822_e_099,103,669
5408_e_099,3,6
4496_e_091,1,1
4747_e_093,58,408
4947_e_097,11,56
6082_e_101,41,270
4702_e_093,31,215
4042_e_083,3,7
5104_e_097,13,81
1530_e_051,2,4
3683_e_081,17,87
4007_e_083,1,1
5141_e_097,5,15
3985_e_083,2,4
1558_e_053,17,102
3183_e_077,80,543
2883_e_071,1,1
5360_e_099,22,135
662_e_025,1,1
4829_e_093,21,108
627_e_025,1,1
5325_e_099,1,1
1218_e_043,1,1
912_e_031,1,1
2322_e_065,3,7
2422_e_067,1,1
3327_e_077,78,808
2261_e_063,7,34
5019_e_097,34,208
1468_e_051,1,1
2467_e_067,1,1
2224_e_063,1,1
3898_e_083,1,1
2367_e_065,1,1
585_e_023,1,1
5515_e_099,5,20
717_e_027,1,1
5550_e_099,84,415
752_e_027,1,1
6320_e_107,1,1
398_e_019,7,23
6263_e_101,24,193
2646_e_069,11,43
1305_e_043,10,27
6226_e_101,6,25
5956_e_101,245,1990
5913_e_101,3,6
5318_e_097,2,4
1423_e_049,26,112
987_e_033,5,16
5614_e_099,3,6
2926_e_071,1,1
2963_e_071,1,1
5651_e_099,2,4
365_e_019,1,1
4533_e_091,1,1
6162_e_101,11,41
6127_e_101,103,714
578_e_023,5,13
1944_e_057,1,1
2108_e_061,1,1
1495_e_051,1,1
3726_e_081,32,202
3865_e_083,1,1
1901_e_057,2,4
3763_e_081,1,1
3820_e_083,1,1
5996_e_101,23,154
285_e_017,1,1
358_e_019,14,70
4223_e_091,9,23
3552_e_079,1,1
2686_e_069,36,203
4266_e_091,12,37
3517_e_079,5,14
5629_e_099,5,17
545_e_023,1,1
46_e_007,14,77
1056_e_037,1,1
2973_e_073,36,352
792_e_027,1,1
5590_e_099,14,60
1376_e_049,63,483
2170_e_061,1,1
1333_e_049,23,126
3858_e_083,5,17
2135_e_061,1,1
1979_e_057,110,426
4127_e_083,1,1
5061_e_097,94,526
1984_e_057,1,1
1176_e_039,10,43
2219_e_063,1,1
1455_e_051,5,13
255_e_015,3,8
1682_e_055,1,1
1133_e_039,4,12
4162_e_083,1,1
5024_e_097,108,780
210_e_015,10,39
4622_e_093,5,18
5528_e_099,18,101
4667_e_093,138,1213
4909_e_093,21,179
5691_e_099,5,20
801_e_027,1,1
601_e_023,2,4
947_e_033,3,6
278_e_017,1,1
5470_e_099,1,1
2795_e_071,1,1
5435_e_099,7,29
2547_e_067,1,1
3242_e_077,96,602
1548_e_051,3,6
1899_e_057,4,11
3207_e_077,16,122
2502_e_067,1,1
5139_e_097,11,55
2090_e_061,10,35
3095_e_073,1,1
884_e_029,5,17
320_e_017,1,1
5876_e_101,10,48
5280_e_097,60,329
1565_e_053,1,1
4386_e_091,1,1
1225_e_043,1,1
4814_e_093,210,1662
488_e_021,2,4
2723_e_069,1,1
1323_e_045,4031,30089
1260_e_043,2,4
4851_e_093,220,1817
430_e_021,1,1
2843_e_071,1,1
1025_e_033,3,6
5771_e_099,2,4
5734_e_099,5,16
2806_e_071,1,1
475_e_021,16,63
1598_e_053,14,62
3143_e_077,12,70
5238_e_097,105,742
879_e_029,13,45
2603_e_067,5,17
1621_e_053,257,1891
1762_e_055,1,1
4082_e_083,1,1
3068_e_073,9,48
3900_e_083,1,1
86_e_009,1,1
3643_e_081,52,260
1727_e_055,1,1
1664_e_053,34,175
1096_e_039,1,1
1864_e_057,1,1
5181_e_097,61,440
2028_e_061,11,56
3945_e_083,1,1
3606_e_081,7,31
4456_e_091,4,11
4987_e_097,61,396
2768_e_071,9,30
6007_e_101,1,1
4787_e_093,117,1002
4413_e_091,1,1
3362_e_079,1,1
6042_e_101,149,1095
4299_e_091,8,30
6219_e_101,218,1739
4599_e_093,3,6
705_e_025,1,1
5693_e_099,19,99
2679_e_069,13,75
603_e_023,1,1
945_e_033,5,13
5969_e_101,6,26
5063_e_097,8,30
4125_e_083,1,1
1174_e_039,5,14
1986_e_057,1,1
2358_e_065,1,1
2458_e_067,1,1
257_e_015,7,21
1457_e_051,3,8
1680_e_055,1,1
1131_e_039,15,57
5026_e_097,4,10
4160_e_083,1,1
3318_e_077,240,1929
1389_e_049,5,15
212_e_015,11,62
4620_e_093,92,677
728_e_027,1,1
4665_e_093,18,99
547_e_023,1,1
4698_e_093,52,396
6118_e_101,444,3801
4198_e_091,13,38
44_e_007,1,1
4549_e_091,6,14
1054_e_037,1,1
5592_e_099,7,20
790_e_027,1,1
1374_e_049,8,21
1331_e_049,20,83
3719_e_081,9,52
2137_e_061,1,1
1189_e_039,3,6
5994_e_101,165,1284
287_e_017,1,1
4221_e_091,1,1
3550_e_079,99,760
2684_e_069,4,12
4264_e_091,4,10
3515_e_079,21,118
2919_e_071,1,1
1623_e_053,1,1
1760_e_055,4,9
4080_e_083,1,1
3902_e_083,1,1
84_e_009,1,1
3641_e_081,5,13
1725_e_055,3,7
1666_e_053,5,17
1866_e_057,3,8
1094_e_039,5,13
5183_e_097,8,43
888_e_031,1,1
3947_e_083,2,4
3604_e_081,5,17
4454_e_091,1,1
4985_e_097,65,385
6005_e_101,292,2068
4785_e_093,5,13
4411_e_091,1,1
3360_e_079,8,42
6040_e_101,34,149
432_e_021,6,21
2841_e_071,3,6
1027_e_033,6,19
5773_e_099,2,4
5736_e_099,9,31
2804_e_071,1,1
477_e_021,15,98
4379_e_091,4,9
3408_e_079,33,155
5889_e_101,1,1
3141_e_077,28,138
2601_e_067,1,1
322_e_017,1,1
5282_e_097,69,601
5874_e_101,5,16
1567_e_053,1,1
4384_e_091,1,1
1227_e_043,1,1
618_e_025,7,21
4816_e_093,1,1
2721_e_069,7,31
1321_e_045,3,6
1262_e_043,1,1
4853_e_093,1,1
2764_e_069,85,543
5472_e_099,2,4
4978_e_097,29,148
4778_e_093,8,43
2797_e_071,1,1
5437_e_099,9,50
2545_e_067,1,1
3240_e_077,8,28
1069_e_039,9,29
4038_e_083,4,10
3205_e_077,10,55
2500_e_067,1,1
